UID          PID    PPID  C STIME TTY          TIME CMD
lukec        867     845  0 13:40 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
lukec        868     845  0 13:40 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
lukec        887     838  0 13:40 ?        00:00:00 xfce4-session
lukec        938     887  0 13:40 ?        00:00:00 /usr/bin/ssh-agent x-session-manager
lukec        948     845  0 13:40 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
lukec        955     948  0 13:40 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
lukec        966     845  0 13:40 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
lukec        979     845  0 13:40 ?        00:00:00 /usr/bin/gpg-agent --supervised
lukec        981     887  0 13:40 ?        00:00:01 xfwm4 --display :0.0 --sm-client-id 288ba7020-a3a3-4e2f-8445-ce8c445a4000
lukec        985     845  0 13:40 ?        00:00:00 /usr/libexec/gvfsd
lukec        991     845  0 13:40 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
lukec       1011     887  0 13:40 ?        00:00:00 xfsettingsd --display :0.0 --sm-client-id 25176f6f9-3f0b-4ebc-94bc-3d9e83e8b9bb
root        1015       1  0 13:40 ?        00:00:00 /usr/libexec/upowerd
lukec       1022     887  0 13:40 ?        00:00:00 xfce4-panel --display :0.0 --sm-client-id 29ddacef9-c710-4340-8cae-1c10529af1f6
lukec       1027     887  0 13:40 ?        00:00:00 Thunar --sm-client-id 270927750-348d-4c6f-83e5-210a97599355 --daemon
lukec       1033     887  0 13:40 ?        00:00:00 xfdesktop --display :0.0 --sm-client-id 23c6624e1-f13d-4111-9701-2849c2e19244
lukec       1037    1022  0 13:40 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 16777223 whiskermenu Whisker Menu Show a menu to easily access installed applications
lukec       1041    1022  0 13:40 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libsystray.so 14 16777229 systray Status Tray Plugin Provides status notifier items (application indicators) and legacy systray items
lukec       1042    1022  0 13:40 ?        00:00:06 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libgenmon.so 15 16777230 genmon Generic Monitor Show output of a command.
lukec       1043    1022  0 13:40 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 16 16777231 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
lukec       1044    1022  0 13:40 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 17 16777232 notification-plugin Notification Plugin Notification plugin for the Xfce panel
lukec       1048    1022  0 13:40 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 18 16777233 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
lukec       1049    1022  0 13:40 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libactions.so 2200 16777234 actions Action Buttons Log out, lock or other system actions
lukec       1085     845  0 13:40 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/notifyd/xfce4-notifyd
lukec       1104     887  0 13:40 ?        00:00:05 /usr/bin/qterminal -session 2f762dc3a-2b40-4c51-9858-f9c265869647_1694713184_200052
lukec       1105     887  0 13:40 ?        00:00:00 xfce4-power-manager --restart --sm-client-id 233f46298-d66b-4dc4-8d58-d43305524ae2
lukec       1130     845  0 13:40 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
lukec       1133     887  0 13:40 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
lukec       1135     887  0 13:40 ?        00:00:00 nm-applet
root        1139       1  0 13:40 ?        00:00:00 /usr/libexec/udisks2/udisksd
lukec       1140     887  0 13:40 ?        00:00:00 /usr/bin/python3 /usr/bin/blueman-applet
lukec       1145     887  0 13:40 ?        00:00:00 light-locker
lukec       1158     845  0 13:40 ?        00:00:00 /usr/libexec/dconf-service
lukec       1159       1  0 13:40 ?        00:00:00 xcape -e Super_L Control_L Escape
lukec       1163     887  0 13:40 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
lukec       1171     845  0 13:40 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
lukec       1184     845  0 13:40 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
lukec       1190     845  0 13:40 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
root        1200       1  0 13:40 ?        00:00:00 /usr/sbin/pcscd --foreground --auto-exit
lukec       1202     845  0 13:40 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
lukec       1219    1104  0 13:40 pts/0    00:00:03 /usr/bin/zsh
lukec       1220     985  0 13:40 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
lukec       1229     887  0 13:40 ?        00:00:00 xiccd
